user_id,train_avg,prod_avg,drift
1,4.0,3.0,-1.0
3,4.0,4.0,0.0
6,3.8,4.0,0.20000000000000018
7,3.25,4.0,0.75
9,4.0,4.0,0.0
11,4.0,3.0,-1.0
12,4.5,4.0,-0.5
13,3.6666666666666665,4.5,0.8333333333333335
16,3.6666666666666665,4.0,0.3333333333333335
18,4.0,3.5,-0.5
19,4.4,4.5,0.09999999999999964
20,3.3333333333333335,4.0,0.6666666666666665
21,3.6,3.0,-0.6000000000000001
22,3.3333333333333335,3.6666666666666665,0.33333333333333304
23,5.0,4.333333333333333,-0.666666666666667
28,3.0,4.0,1.0
29,4.0,4.0,0.0
30,4.0,3.5,-0.5
31,4.5,3.0,-1.5
36,3.25,3.0,-0.25
38,3.5,4.0,0.5
39,4.0,3.25,-0.75
43,3.0,4.0,1.0
44,4.0,3.6666666666666665,-0.3333333333333335
46,3.3333333333333335,3.5,0.16666666666666652
47,3.25,2.5,-0.75
51,3.0,4.0,1.0
52,3.6666666666666665,4.0,0.3333333333333335
54,2.0,3.0,1.0
55,4.0,3.0,-1.0
56,3.466666666666667,4.0,0.5333333333333332
57,4.0,4.5,0.5
61,3.0,4.0,1.0
62,4.142857142857143,3.6666666666666665,-0.4761904761904767
63,4.5,4.0,-0.5
65,4.0,4.0,0.0
68,4.2,4.0,-0.20000000000000018
73,3.0,4.0,1.0
74,5.0,3.5,-1.5
76,3.5,4.0,0.5
78,4.5,3.0,-1.5
80,3.0,4.0,1.0
81,4.4,5.0,0.5999999999999996
82,4.0,3.0,-1.0
83,3.0,3.0,0.0
84,4.0,3.5,-0.5
85,4.0,4.0,0.0
86,4.0,3.0,-1.0
88,2.0625,2.5,0.4375
89,4.0,4.0,0.0
90,3.5,4.0,0.5
91,3.0,4.0,1.0
96,3.0,4.0,1.0
97,2.0,4.0,2.0
104,2.0,2.5,0.5
107,4.0,4.333333333333333,0.33333333333333304
108,4.0,4.0,0.0
109,4.0,3.0,-1.0
111,3.5,3.0,-0.5
115,3.142857142857143,3.3333333333333335,0.1904761904761907
116,2.6666666666666665,2.0,-0.6666666666666665
125,4.0,4.0,0.0
126,3.3333333333333335,5.0,1.6666666666666665
129,3.4,4.0,0.6000000000000001
134,3.0,3.0,0.0
136,4.5,4.0,-0.5
137,4.0,4.0,0.0
142,3.3846153846153846,3.5,0.11538461538461542
143,4.0,4.0,0.0
145,3.6666666666666665,3.0,-0.6666666666666665
146,4.333333333333333,3.75,-0.583333333333333
147,3.5,3.6666666666666665,0.16666666666666652
150,3.5,3.0,-0.5
151,3.4,3.0,-0.3999999999999999
153,4.142857142857143,3.5,-0.6428571428571432
154,4.0,5.0,1.0
156,4.25,3.5,-0.75
157,3.0,4.0,1.0
158,3.0,3.0,0.0
159,4.25,4.0,-0.25
160,4.5,4.5,0.0
162,2.5,2.0,-0.5
164,5.0,5.0,0.0
165,4.0,3.0,-1.0
171,4.0,3.6666666666666665,-0.3333333333333335
174,3.4615384615384617,3.5,0.038461538461538325
179,4.0,4.0,0.0
182,5.0,4.0,-1.0
185,3.0625,3.0,-0.0625
186,3.6666666666666665,3.0,-0.6666666666666665
187,4.0,3.0,-1.0
188,3.6666666666666665,4.0,0.3333333333333335
190,3.5,4.0,0.5
193,3.0,3.0,0.0
195,3.0,3.0,0.0
196,4.0,4.0,0.0
205,3.0,3.0,0.0
206,3.0,3.0,0.0
208,4.0,3.0,-1.0
209,3.7142857142857144,4.0,0.2857142857142856
210,3.7142857142857144,3.0,-0.7142857142857144
212,3.0,3.6,0.6000000000000001
213,4.285714285714286,4.0,-0.2857142857142856
214,4.0,4.0,0.0
215,3.5,2.0,-1.5
217,3.6666666666666665,4.0,0.3333333333333335
218,3.75,4.0,0.25
220,3.6666666666666665,4.0,0.3333333333333335
223,2.6666666666666665,3.0,0.3333333333333335
226,4.5,4.0,-0.5
228,4.0,3.0,-1.0
230,3.5,4.0,0.5
231,3.5,4.0,0.5
232,3.0,4.5,1.5
233,3.6,3.0,-0.6000000000000001
237,4.333333333333333,4.5,0.16666666666666696
239,4.0,4.0,0.0
243,4.0,4.0,0.0
244,4.5,4.0,-0.5
246,3.0,3.0,0.0
247,3.2666666666666666,3.0,-0.2666666666666666
250,4.0,3.0,-1.0
251,3.6666666666666665,4.0,0.3333333333333335
252,4.25,3.0,-1.25
253,3.5,4.0,0.5
254,3.6666666666666665,4.0,0.3333333333333335
256,4.0,4.0,0.0
259,4.0,3.0,-1.0
261,3.5,3.5,0.0
266,4.0,4.0,0.0
267,3.75,3.0,-0.75
268,4.0,3.0,-1.0
275,5.0,3.0,-2.0
279,4.333333333333333,4.0,-0.33333333333333304
281,5.0,4.0,-1.0
283,4.0,3.0,-1.0
288,3.4,4.0,0.6000000000000001
291,4.0,4.0,0.0
293,5.0,3.5,-1.5
295,2.8333333333333335,3.0,0.16666666666666652
296,4.0,2.0,-2.0
300,3.0,3.0,0.0
302,4.2,5.0,0.7999999999999998
307,5.0,4.0,-1.0
308,3.238095238095238,4.0,0.7619047619047619
310,4.0,4.0,0.0
312,3.6666666666666665,3.5,-0.16666666666666652
313,3.0,2.5,-0.5
314,3.75,5.0,1.25
315,4.0,4.0,0.0
316,3.5,3.0,-0.5
320,3.0,3.0,0.0
323,2.5,3.0,0.5
325,3.0,3.0,0.0
326,4.0,3.5,-0.5
328,3.5,4.0,0.5
332,3.3333333333333335,3.0,-0.3333333333333335
333,3.85,4.0,0.1499999999999999
337,4.0,4.0,0.0
339,4.222222222222222,4.0,-0.22222222222222232
341,5.0,3.0,-2.0
343,3.0,3.0,0.0
344,4.0,3.0,-1.0
345,4.0,3.5,-0.5
346,4.0,5.0,1.0
347,3.1578947368421053,3.5,0.3421052631578947
350,3.0,3.0,0.0
352,4.0,5.0,1.0
355,3.0,3.25,0.25
358,3.6666666666666665,3.0,-0.6666666666666665
359,4.5,4.0,-0.5
360,4.6,3.0,-1.5999999999999996
361,3.5,3.5,0.0
362,3.5,4.0,0.5
367,3.3333333333333335,3.0,-0.3333333333333335
369,3.5,3.0,-0.5
372,4.0,3.5,-0.5
373,3.8333333333333335,4.0,0.16666666666666652
377,3.6666666666666665,4.5,0.8333333333333335
378,4.0,4.0,0.0
379,3.526315789473684,3.0,-0.5263157894736841
380,5.0,5.0,0.0
381,3.6666666666666665,4.0,0.3333333333333335
382,4.25,4.0,-0.25
386,3.6666666666666665,3.0,-0.6666666666666665
387,3.8,4.0,0.20000000000000018
389,3.6666666666666665,2.0,-1.6666666666666665
392,4.0,4.0,0.0
395,4.5,4.0,-0.5
396,3.4,3.3333333333333335,-0.06666666666666643
400,3.0,3.5,0.5
403,4.0,4.0,0.0
406,3.25,3.0,-0.25
